model_number,identifier,variant,emc,model_name,storage_capacity,housing_color,network,cellular_network,camera,controller,ports,power_cord,power_brick,dimensions,avg_weight,release_date,msrp
NE490LL/A,"iPhone5,1",A1428,,iPhone 5,64GB,Black,WiFi + Cellular,GSM/LTE,8.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.95 oz,September 12th 2012,399
ME039CH/A,"iPhone5,2",A1442,,iPhone 5,16GB,Black,WiFi + Cellular,CDMA,8.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.95 oz,December 14th 2012,199
MD645LL/A,"iPhone5,1",A1428,,iPhone 5,64GB,White,WiFi + Cellular,GSM/LTE,8.0 Megapixels,Multi-Touch,"Lightning, Headphone",Lightning,5w,4.87 x 2.31 x 0.30 inches,3.95 oz,September 12th 2012,399
MD380LL/A,"iPhone4,1",A1387,2430,iPhone 4S,32GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,299
MD239KH/A,"iPhone4,1",A1387,2430,iPhone 4S,16GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,199
MD244LL/A,"iPhone4,1",A1387,2430,iPhone 4S,32GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,299
MD260LL/A,"iPhone4,1",A1387,2430,iPhone 4S,64GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,399
MC919LL/A,"iPhone4,1",A1387,2430,iPhone 4S,32GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,299
MD379LL/A,"iPhone4,1",A1387,2430,iPhone 4S,32GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,299
MC921LL/A,"iPhone4,1",A1387,2430,iPhone 4S,32GB,White,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,October 4th 2011,299
MF267CH/A,"iPhone4,1",A1431,,iPhone 4S,8GB,Black,WiFi + Cellular,GSM/CDMA,8.0 Megapixels,Multi-Touch,"Dock, Headphone",30-pin,5w,4.5 x 2.31 x 0.37 inches,4.9 oz,September 10th 2013,99
